"Id","Regiao","Prima","CustoProduto","Pmaquinabase","Pmaquina1","Pmaquina2","Pmaquina3","Cmaquina1","Cmaquina2","Cmaquina3","Resposta"
3310,"558",1862,48601,1396.64,1865.49,2007.55,2169.27,1509.14759423178,1396.64,1297.80974501258,0
3310,"556",2880,48281,964.41,1245.39,1342.09,1386.64,996.423103070584,964.41,894.92252375027,0
3310,"558",2352,31414,986.35,1606.25,1935.54,1935.54,986.35,986.35,818.544017431828,0
3310,"558",2516,76160,795.83,1368.08,1444.99,1553.74,855.724194769514,795.83,753.471723956567,0
3396,"553",2501,51689,1995.77,3068.09,3796.41,4033.7,2120.51318192714,1995.77,1612.89270107812,0
119,"559",3467,35908,1130.72,1938.07,2247.3,2477.54,1246.56433444578,1130.72,975.132163218084,1
2338,"554",2296,18810,1730.59,3120.08,3913.38,4189.45,1852.67474037788,1730.59,1379.77381373646,0
1728,"552",2880,65969,1513.12,3386.61,4578.65,4866,1608.08140390727,1513.12,1119.183017527,0
2800,"553",1654,18991,1063.04,2055.86,2701.89,3016.49,1186.81720188461,1063.04,808.863948717379,0
1344,"556",3451,30342,1382.2,2086.82,2671.51,2817.43,1457.6968628229,1382.2,1079.68998955647,0
3310,"553",4088,144199,2148.13,2815.41,3536.32,3841.75,2333.66279847412,2148.13,1710.21476656524,0
4123,"553",2057,75961,1226.38,2507.59,2187.86,2296.06,1287.03027744006,1226.38,1405.60100929676,3
3688,"554",5268,57619,1661.54,2697.28,3736.24,3857.56,1715.49211035694,1661.54,1199.50501338244,0
1601,"554",1688,31335,1252.12,4322.28,4681.81,4851.86,1297.59877978816,1252.12,1155.9660117775,0
3649,"552",2462,41429,605.7,1066.39,1091.1,1196.29,664.093898817707,605.7,591.982790761617,0
1874,"558",5915,152133,965.63,2908.63,3131.42,3236.05,997.894553110091,965.63,896.928673541077,0
3310,"555",2516,84055,484.28,2129.91,1980.55,2233.49,546.128366968771,484.28,520.801199060867,0
2558,"553",1508,31738,521.51,972.34,884.22,982.91,579.717032073466,521.51,573.482881409604,0
3310,"557",1817,41572,733.64,1156.43,1229.73,1302.96,777.328010538899,733.64,689.910228424126,0
1054,"556",1746,48297,717.42,1477.9,1184.51,1252.97,758.884042684317,717.42,895.116983393977,0
3268,"557",1453,58887,920.32,1311.66,1300.34,1409.63,997.670364366243,920.32,928.331767999139,0
3310,"557",4613,63473,922.21,2390.79,2809.22,2976.83,977.232966552994,922.21,784.847910060444,0
1834,"557",1514,35224,675.58,2983.96,3013.93,3175.86,711.877017316262,675.58,668.862149021377,0
3948,"556",2400,49941,887.56,1214.21,1227.34,1295.37,936.756397738198,887.56,878.064943373474,2
1770,"554",1582,19189,1176.62,1738.56,2078.4,2238.59,1267.30646930331,1176.62,984.230401847575,0
1464,"30",2057,61038,1749.58,2987.71,3233.97,3484.72,1885.2359229059,1749.58,1616.3531701902,0
3818,"553",1900,35478,668.53,1037.11,1095.07,1164.27,710.775953226734,668.53,633.145961719342,2
1965,"557",3660,30142,809.77,3629.54,4218.05,4496.93,863.308639323858,809.77,696.789418285701,0
1046,"554",1842,34637,840.64,1642.35,1549.34,1656.22,898.630888507364,840.64,891.105311939277,0
1155,"554",2463,46685,1929.46,2586.31,3075.92,3285.48,2060.91258576296,1929.46,1622.33793226092,0
785,"556",6453,37082,913.14,1404.48,1539.7,1758.03,1042.62357225434,913.14,832.945942196532,0
217,"556",3226,29347,1230.82,2384.75,3261.53,3540.19,1335.97932743222,1230.82,899.945116249122,0
3310,"30",1335,17930,451.89,1001.59,833.11,914.14,495.84175511037,451.89,543.275804035482,0
858,"558",3858,76027,1417.43,2239.73,2858.92,3088.15,1531.08042704938,1417.43,1110.44047888713,0
848,"558",1816,72446,672.97,1566.7,1343.5,1461.23,731.941907778191,672.97,784.77268254559,0
3927,"555",1781,47365,1073.79,1452.79,1616.42,1865.06,1238.96188948417,1073.79,965.090368901647,2
1302,"554",1721,34165,909.88,1832.61,1956.46,2124.72,988.131744886172,909.88,852.281767477996,0
3310,"560",2089,26579,429.39,599.99,824.88,894.72,465.745103287751,429.39,312.323860561536,0
508,"553",3213,27677,1172.99,2161.06,2401.95,2595.21,1267.3683373509,1172.99,1055.35159741044,0
3310,"554",1749,37751,1709.4,2674.69,3555.94,3751.56,1803.43781503625,1709.4,1285.76834423528,0
1595,"554",1618,33277,1127.85,2017.01,2108.34,2276.08,1217.58199721108,1127.85,1078.99329733345,0
